word,part_of_speech,definition,example,synonyms
pine,"n, v",straight-grained durable and often resinous white to yellowish timber of any of numerous trees of the genus Pinus; a coniferous tree; have a desire for something or someone who is not present,I am pining for my lover; She ached for a cigarette,"ache, languish, pine tree, true pine, yearn, yen"
piquant,s,attracting or delighting; having an agreeably pungent taste; engagingly stimulating or provocative,a piquant face with large appealing eyes; an engaging frankness; salty language; a piquant wit,"engaging, salty, savory, savoury, spicy, zesty"
pith,"n, v",remove the pith from (a plant); soft spongelike central cylinder of the stems of most flowering plants; the choicest or most essential or most vital part of some idea or experience,the gist of the prosecutor's argument; the nub of the story; the heart and soul of the Republican Party,"center, centre, core, essence, gist, heart, heart and soul, inwardness, kernel, marrow, meat, nitty-gritty, nub, substance, sum"
pittance,n,an inadequate payment,they work all day for a mere pittance,
placid,s,not easily irritated; (of a body of water) free from disturbance by heavy waves,the quiet waters of a lagoon; scarcely a ripple on the still water; an equable temper; remained placid despite the repeated delays; a lake of tranquil blue water reflecting a tranquil blue sky; unruffled water; not everyone shared his placid temperament; a smooth channel crossing; a ribbon of sand between the angry sea and the placid bay,"equable, even-tempered, good-tempered, quiet, smooth, still, tranquil, unruffled"
plaintext,,,,
plaintive,s,expressing sorrow,,mournful
plangent,s,loud and resounding,plangent bells; the plangent minority,
plasticity,n,the property of being physically malleable; the property of something that can be worked or hammered or shaped without breaking,,malleability
plucky,"s, a",marked by courage and determination in the face of difficulties or danger; robust and uninhibited; ; -Judith Crist; showing courage,you have to admire her; it was a gutsy thing to do; a gutsy red wine; the champion is faced with a feisty challenger; the gutsy...intensity of her musical involvement,"feisty, gutsy, spunky"
plutocracy (oligarchy),,,,
poignant,s,arousing affect; keenly distressing to the mind or feelings,poignant grief cannot endure forever; his gratitude was simple and touching; the homecoming of the released hostages was an affecting scene; poignant anxiety,"affecting, touching"
polemic,"n, s",a controversy (especially over a belief or dogma); a writer who argues in opposition to others (especially in theology); of or involving dispute or controversy,,"polemical, polemicist, polemist"
ponderous,s,having great mass and weight and unwieldiness; labored and dull; slow and laborious because of weight,the heavy tread of tired troops; a ponderous burden; a ponderous yawn; a ponderous stone; ponderous weapons; a ponderous speech; ponderous prehistoric beasts; moved with a lumbering sag-bellied trot,"heavy, lumbering"
portentous,s,puffed up with vanity; ; ; ; - Newsweek; of momentous or ominous significance; - Herman Melville; ominously prophetic,a grandiloquent and boastful manner; overblown oratory; pseudo-scientific gobbledygook and pontifical hooey; a prodigious vision; such a portentous...monster raised all my curiosity; a pompous speech,"fateful, foreboding, grandiloquent, overblown, pompous, pontifical, prodigious"
posit,"n, v",put before; take as a given; assume as a postulate or axiom; (logic) a proposition that is accepted as true in order to provide a basis for logical reasoning; put (something somewhere) firmly,deposit the suitcase on the bench; He posited three basic laws of nature; fix your eyes on this spot; She posited her hand on his shoulder; I submit to you that the accused is guilty,"deposit, fix, postulate, put forward, situate, state, submit"
potentate,n,a ruler who is unconstrained by law,,dictator
potentiate,v,increase the effect of or act synergistically with (a drug or a physiological or biochemical phenomenon),potentiate the drug,
potopurri,,,,
powwow,"n, v","hold a powwow, talk, conference or meeting; (informal) a quick private conference; a council of or with Native Americans",,huddle
prate,"n, v",idle or foolish and irrelevant talk; speak (about unimportant matters) rapidly and incessantly,,"blab, blabber, blether, chatter, chin music, clack, gabble, gibber, idle talk, maunder, palaver, piffle, prattle, tattle, tittle-tattle, twaddle"
prattle,"n, v",idle or foolish and irrelevant talk; speak (about unimportant matters) rapidly and incessantly,,"blab, blabber, blether, chatter, chin music, clack, gabble, gibber, idle talk, maunder, palaver, piffle, prate, tattle, tittle-tattle, twaddle"
pre-empt,n,a high bid that is intended to prevent the opposing players from bidding,,"preempt, preemptive bid"
precept,n,rule of personal conduct; a doctrine that is taught,he believed all the Christian precepts; the teachings of religion,"commandment, principle, teaching"
precipitate,"n, s, v","fall vertically, sharply, or headlong; hurl or throw violently; done with very great haste and without due deliberation; - Shakespeare; - Arthur Geddes; bring about abruptly; fall from clouds; separate as a fine suspension of solid particles; a precipitated solid substance in suspension or after settling or filtering","hasty makeshifts take the place of planning; The crisis precipitated by Russia's revolution; Our economy precipitated into complete ruin; rejected what was regarded as an overhasty plan for reconversion; rain, snow and sleet were falling; hasty marriage seldom proveth well; Vesuvius precipitated its fiery, destructive rage on Herculaneum; wondered whether they had been rather precipitate in deposing the king; The bridge broke and precipitated the train into the river below","come down, fall, hasty, overhasty, precipitant, precipitous"
precipitous,s,done with very great haste and without due deliberation; - Shakespeare; - Arthur Geddes; extremely steep,rejected what was regarded as an overhasty plan for reconversion; the precipitous hills of Chinese paintings; an abrupt canyon; hasty marriage seldom proveth well; the precipitous rapids of the upper river; a sharp drop; wondered whether they had been rather precipitate in deposing the king; hasty makeshifts take the place of planning,"abrupt, hasty, overhasty, precipitant, precipitate, sharp"
précis,,,,
preclude,v,"make impossible, especially beforehand; keep from happening or arising; make impossible",My sense of tact forbids an honest answer; Your role in the projects precludes your involvement in the competitive project,"close out, forbid, foreclose, forestall, prevent, rule out"
preempt,"n, v","make a preemptive bid in the game of bridge; gain possession of by prior right or opportunity, especially so as to obtain the right to buy (land); acquire for oneself before others can do so; a high bid that is intended to prevent the opposing players from bidding; take the place of or have precedence over",live broadcast of the presidential debate preempts the regular news hour; discussion of the emergency situation will preempt the lecture by the professor,"displace, pre-empt, preemptive bid"
